,model_name,smape,mape,predictions
1,Naive,25.12,31.26,"[1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998, 1912.9999999999998]"
2,Seasonal Naive,32.02,44.2,"[2722.0, 1845.0, 1784.0000000000007, 2416.000000000001, 869.0000000000001, 22.000000000000004, 1683.9999999999998, 1829.0000000000005, 1370.9999999999998, 3492.0000000000027, 2603.0, 2846.999999999999, 1857.0000000000007, 1144.0, 1389.0000000000005, 1997.0, 1467.9999999999995, 1915.9999999999998, 1551.0000000000005, 2323.9999999999995, 2875.9999999999986, 1606.0, 2522.999999999999, 3170.0000000000027, 4324.999999999999, 2340.999999999999, 4659.000000000001, 5805.000000000004, 2225.0, 1150.0000000000005, 2556.0, 1801.9999999999998, 1458.9999999999993, 2970.0000000000014, 2012.9999999999993, 2185.0, 1476.0, 2114.0000000000005, 1415.0000000000002, 1329.0000000000005, 1584.0000000000002, 2172.9999999999995, 2592.0, 2188.0000000000005, 1463.9999999999998, 2124.0000000000005, 2076.0, 1340.0, 1337.0000000000002, 1544.0000000000005]"
3,Moving Average,139.87,669.92,"[6732.234042553191, 8727.852312282454, 8933.247440273044, 4743.456338028169, 5125.358954041202, 21255.025157232703, 2346.386008230453, 10.481462671406808, 1311.110552763819, 2961.381918819187, 1956.046854082998, 8490.120060030022, 26512.68227424749, 15871.01842374615, 4351.404785643074, 1227.8636363636367, 1327.6722054380664, 2439.434657039712, 1671.5757974350543, 2619.896077638495, 2264.274336283186, 4129.948600275353, 5136.481099656359, 1951.2034174125301, 2233.581295581295, 3705.7615036976163, 5714.23082348792, 2736.267496930362, 8410.877192982456, 13521.696504119356, 5079.006825938567, 2102.7228850325387, 4094.304498269894, 2591.8705416116254, 1885.8163427211425, 8840.114324142563, 4503.143755615452, 3066.929742388756, 1240.5555810748735, 894.5113730111964, 530.9870350690755, 604.3763048881525, 984.1689780243227, 1447.844065992549, 2406.6399610136446, 1996.3190758067603, 787.7909238249598, 1182.4211669770327, 1627.3722927557883, 1001.513460275772]"
4,Moving Average,44.32,61.13,"[2106.9999999999995, 2878.0, 2886.500000000001, 2283.499999999999, 1814.4999999999995, 2100.0, 1642.4999999999993, 445.50000000000017, 853.0000000000001, 1756.5000000000002, 1599.9999999999998, 2431.500000000001, 3047.499999999999, 2725.0, 2352.0, 1500.4999999999998, 1266.5, 1693.0000000000002, 1732.5, 1691.9999999999995, 1733.4999999999998, 1937.5000000000007, 2600.0, 2241.000000000001, 2064.500000000001, 2846.500000000001, 3747.5, 3333.0000000000023, 3499.9999999999995, 5231.999999999997, 4014.999999999997, 1687.5000000000007, 1852.9999999999998, 2179.000000000001, 1630.5000000000007, 2214.500000000001, 2491.500000000001, 2099.0000000000005, 1830.5000000000007, 1794.9999999999998, 1764.5000000000005, 1371.9999999999995, 1456.4999999999995, 1878.4999999999993, 2382.4999999999995, 2389.999999999999, 1825.9999999999993, 1794.0, 2100.0, 1708.0000000000007]"
5,Linear Regression,51.6,75.11,"[1654.1715727890166, 705.1427084717313, 781.7986371261796, 1010.515889508501, 743.551629484123, 676.0592517011598, 824.2655735286864, 1100.4607709824634, 1344.296275474453, 1377.7516788120179, 588.7817441966511, 1024.4963647196141, 1102.4429711600499, 935.7203936042628, 778.9219399146783, 593.6191442178394, 409.10195816099485, 609.0931504878514, 637.9580541088499, 811.3177447386339, 1007.4764700568971, 719.60194223511, 828.1420149179229, 876.6646633861524, 988.7139324143321, 1031.0255903471668, 903.1572165613924, 1832.4005275578193, 2479.1115709759883, 91.77369338362399, 904.8058833194725, 1127.4992194401837, 1062.3637120986423, 1327.9274506825157, 1185.892509436755, 1015.8251183098602, 365.5187570613984, 369.4254997936659, 436.69543784940157, 694.8966856885436, 1656.6569158388231, 877.8055697446285, 1204.884169490739, 1258.437873485817, 1337.076885733045, 689.8532403278734, 41.23245181556525, 251.84639136432952, 169.7847304893538, nan]"
6,Elastic-Net,43.89,60.36,"[2020.5896042473823, 1266.4829558925442, 1447.3017538574943, 1530.862333364005, 1525.195578964244, 1574.8063163659772, 1693.69351561279, 1734.0277932958536, 1745.9985737817103, 1571.9177263237368, 1561.5841197801535, 1508.8841902265156, 1663.2526036637478, 1670.0969126377738, 1669.0190614324035, 1519.2034371567383, 1408.6557017376936, 1314.2226804695545, 1334.5294650432968, 1471.8327571950513, 1575.93939992309, 1564.5969473721163, 1570.1368790192423, 1563.3489348841283, 1687.839494338082, 1790.0721027999311, 1707.589526464063, 3180.969585338701, 2032.2899743282014, 958.1282591724471, 477.4342332455206, 312.7992439350567, 102.457794748043, 282.45575640617943, 283.29629322842555, 399.2068677449358, 829.5249529109997, 1060.880808265177, 1014.9441816682626, 543.3254094639576, 278.1778941473622, 497.96863475516017, 265.52329748569747, 305.17623310786274, 353.22425141014503, 558.8856254646047, 780.0281346558982, 836.1154412473488, 731.0055012442731, nan]"
7,Random Forest,12.45,13.78,"[1919.1445881223874, 1733.0959336645717, 1935.384136747757, 2070.7910449815977, 1876.2056348334477, 2023.3602419298463, 2013.400401861053, 1985.6218422678671, 1985.0934388795886, 1951.8876692953418, 1981.2354815190668, 2284.407322733484, 2058.0812736398943, 1981.3205933973268, 1982.4810314254837, 1946.7083714064436, 2126.8604920112457, 1935.0772754057352, 2007.092359001938, 2015.156369864821, 2271.376460553998, 2158.31441245464, 2042.8415653882623, 2055.1178346190313, 2133.1197205227845, 2089.945502663348, 2076.8215987339445, 2547.371896877176, 2303.2963449028566, 2184.0295192222025, 1917.1718614863205, 1986.5514688920473, 1974.6617711914014, 2246.238261257999, 1980.601737361704, 1934.7145270846108, 1924.418748696333, 2018.89443763039, 1969.6429706622193, 1955.6647985255338, 1942.3776175060693, 1920.4444495505213, 2086.7709942825354, 1923.6902074246957, 1997.8690053066136, 2002.400063788546, 1990.105837528693, 1991.2387674737488, 1946.2880873087008, nan]"
8,XGBoost,12.31,13.4,"[2042.4290771484375, 1524.9038085937507, 1914.2093505859382, 2146.1210937500005, 1889.0540771484373, 2437.8554687499995, 2909.5334472656255, 2906.9479980468764, 2904.3488769531245, 3162.9960937499977, 3268.8671875000027, 3037.360595703124, 3029.965820312501, 3150.056884765626, 3088.917724609374, 2765.5402832031255, 2569.0656738281255, 2074.3496093749995, 2085.9497070312495, 2299.1865234375, 3078.9526367187495, 2756.103759765624, 2889.3618164062505, 2841.1108398437514, 3038.2880859375, 2913.2880859374995, 3271.9428710937514, 4392.278320312503, 2834.736328124999, 2586.5895996093745, 2095.0390624999995, 1687.994140625, 2196.107421874999, 2928.6975097656245, 2555.40185546875, 2727.2373046874986, 2582.000976562501, 2740.3054199218755, 2633.648193359375, 3096.8432617187495, 2876.7431640625014, 2798.5891113281245, 2620.2246093749995, 2551.9614257812495, 2527.8381347656255, 2590.709716796875, 2912.287841796876, 3082.5036621093773, 3064.29638671875, nan]"
9,Light GBM,24.85,28.12,"[1931.8310525808943, 1893.8661389042536, 2425.4991547993777, 1900.7394952161312, 2044.1320422292656, 2409.771392640093, 2354.367179123118, 2313.2723472782877, 2508.9294331126735, 2675.1476878974613, 3448.3383577684613, 3183.647788359995, 3363.19801864645, 3313.289832402841, 3119.2535617137996, 2908.3154681909145, 2208.0192391034316, 2247.9110884416027, 2468.8187867609695, 2496.009733753011, 2473.660884648022, 3033.6627113673126, 2926.7424701200944, 3185.938668138201, 3250.9592816167146, 3491.1151740361875, 3385.3040774566743, 3799.983766972371, 3606.6264414974803, 2184.3282623505975, 2262.590627146756, 2380.7878883117933, 2256.6953985501073, 2176.260811904345, 2591.32331887218, 2467.8107164260514, 2671.3931582705195, 2796.3253227899604, 2956.3580108205783, 2965.6493213596436, 3032.8888822976655, 2886.1272098364225, 2275.3376816558007, 2437.6021029932494, 2550.8514108719683, 2470.9227129614083, 2349.5373784054564, 2657.7087319739217, 2477.88424341745, nan]"
10,Simple Exponential Smoothing,21.09,25.85,"[1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925, 1791.9664927840925]"
11,Holt Exponential Smoothing,19.89,23.45,"[1738.3406463953197, 1737.7587174366925, 1737.1767884780656, 1736.594859519439, 1736.0129305608123, 1735.431001602185, 1734.849072643558, 1734.2671436849323, 1733.6852147263048, 1733.103285767677, 1732.5213568090517, 1731.9394278504244, 1731.3574988917976, 1730.7755699331706, 1730.1936409745429, 1729.6117120159163, 1729.02978305729, 1728.4478540986627, 1727.8659251400356, 1727.2839961814095, 1726.7020672227823, 1726.1201382641545, 1725.5382093055289, 1724.9562803469007, 1724.374351388275, 1723.7924224296485, 1723.2104934710203, 1722.6285645123937, 1722.0466355537676, 1721.46470659514, 1720.8827776365129, 1720.3008486778867, 1719.7189197192592, 1719.1369907606324, 1718.5550618020059, 1717.9731328433784, 1717.3912038847518, 1716.8092749261248, 1716.2273459674977, 1715.6454170088712, 1715.0634880502446, 1714.481559091618, 1713.8996301329908, 1713.3177011743635, 1712.7357722157376, 1712.1538432571099, 1711.5719142984835, 1710.9899853398558, 1710.4080563812288, 1709.8261274226018]"
12,Holt-Winters Exponential Smoothing,35.83,46.63,"[1218.9928070904512, 1138.6646594219349, 1665.9369152407228, 1570.90456762688, 1516.1101297721752, 2180.4018675559428, 1933.8442803587786, 1898.9535140980222, 1703.464977915156, 1494.6360040212503, 1702.0654330290738, 2022.734647621803, 1218.9928070904512, 1138.6646594219349, 1665.9369152407228, 1570.90456762688, 1516.1101297721752, 2180.4018675559428, 1933.8442803587786, 1898.9535140980222, 1703.464977915156, 1494.6360040212503, 1702.0654330290738, 2022.734647621803, 1218.9928070904512, 1138.6646594219349, 1665.9369152407228, 1570.90456762688, 1516.1101297721752, 2180.4018675559428, 1933.8442803587786, 1898.9535140980222, 1703.464977915156, 1494.6360040212503, 1702.0654330290738, 2022.734647621803, 1218.9928070904512, 1138.6646594219349, 1665.9369152407228, 1570.90456762688, 1516.1101297721752, 2180.4018675559428, 1933.8442803587786, 1898.9535140980222, 1703.464977915156, 1494.6360040212503, 1702.0654330290738, 2022.734647621803, 1218.9928070904512, 1138.6646594219349]"
13,SARIMA,18.2,21.52,"[1772.8906424879158, 1750.199711010081, 1740.0670479874036, 1729.993080869651, 1719.9774696465777, 1710.019876277525, 1700.1199646800217, 1690.2774007184362, 1680.4918521926938, 1670.7629888270733, 1661.0904822590544, 1651.4740060282365, 1641.913235565317, 1632.4078481811448, 1622.9575230558196, 1613.561941227871, 1604.2207855834886, 1594.9337408458184, 1585.7004935643301, 1576.520732104226, 1567.3941466359292, 1558.320429124628, 1549.2992733198753, 1540.330374745255, 1531.4134306881022, 1522.5481401892912, 1513.7342040330727, 1504.9713247369782, 1496.25920654178, 1487.5975554015026, 1478.986078973508, 1470.424486608621, 1461.9124893413239, 1453.4497998800007, 1445.0361325972408, 1436.6712035202017, 1428.354730321021, 1420.0864323072879, 1411.8660304125724, 1403.693247187005, 1395.5678067879078, 1387.489434970492, 1379.457859078598, 1371.4728080354903, 1363.5340123347148, 1355.6412040309965, 1347.7941167311976, 1339.9924855853292, 1332.236047277608, 1324.5245400175738]"
14,SARIMAX,59.52,90.36,"[1619.9341250687191, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]"
