,model_name,smape,mape,predictions
1,Naive,29.46,25.35,"[1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002, 1330.0000000000002]"
2,Seasonal Naive,38.31,41.95,"[2722.0, 2006.9999999999995, 1914.0000000000005, 2021.0000000000005, 683.9999999999998, 1024.0, 2997.9999999999977, 728.0, 1096.9999999999998, 1399.0000000000007, 2114.9999999999995, 2429.0000000000005, 1222.0000000000005, 1557.0000000000002, 2321.999999999999, 1355.9999999999998, 2265.000000000001, 1708.9999999999995, 2213.0000000000005, 1794.9999999999998, 2288.0, 1440.9999999999995, 2685.000000000001, 2829.0000000000014, 4328.000000000004, 2633.999999999999, 4726.000000000004, 4600.000000000003, 1610.0000000000005, 726.9999999999999, 1815.9999999999993, 1560.0000000000005, 1133.9999999999998, 1354.0000000000002, 836.0000000000001, 1468.9999999999998, 802.0000000000002, 3224.9999999999973, 686.9999999999998, 1231.9999999999998, 1316.0000000000002, 1399.0000000000007, 1706.0000000000005, 1613.0000000000005, 1891.0000000000002, 1504.0000000000005, 1714.0000000000005, 1615.9999999999995, 1089.0, 1859.9999999999995]"
3,Moving Average,103.5,369.76,"[3255.285714285713, 2560.4340902388676, 3918.3229009930806, 3925.8187086092744, 2854.8435477731255, 3066.069444444447, 1165.0283732660785, 2279.37859007833, 5829.708272859216, 820.6633363608843, 706.7605086541855, 1288.998522349464, 2998.3225676221236, 4260.5504055619895, 2018.8573369565208, 2397.5679423183574, 5002.954974986105, 3010.6555891238654, 4645.79365079365, 5701.9882352941195, 5754.842070338417, 2588.028077753779, 2569.312328013209, 1207.58273381295, 2101.344592030361, 2722.8327221931186, 3431.816156914892, 2111.524012438098, 4988.311719982785, 5847.0907975460095, 2280.9981739328928, 645.321550741163, 2581.814213766089, 2753.5201465201453, 1200.856805664831, 2161.2813102119453, 853.9318394024276, 993.3111241561494, 561.2555487053023, 2746.789250952178, 449.9889521258788, 416.53565768621235, 626.6755746589422, 697.8168289546207, 938.5536062378167, 774.6946896252349, 966.8222676200206, 854.9315137307432, 897.5025223759153, 1058.183320220299]"
4,Moving Average,56.36,77.61,"[1785.9999999999995, 2104.5000000000005, 2392.999999999999, 2364.5000000000005, 1960.5, 1967.5, 1352.4999999999995, 854.0000000000003, 2011.0000000000002, 1863.0000000000007, 912.5, 1248.0000000000005, 1756.9999999999995, 2271.999999999999, 1825.4999999999998, 1389.5000000000005, 1939.5000000000002, 1838.9999999999993, 1810.5000000000007, 1987.0000000000005, 1961.0, 2003.9999999999998, 2041.5000000000002, 1864.4999999999995, 2062.9999999999995, 2757.0000000000005, 3578.5000000000023, 3481.000000000002, 3679.9999999999986, 4662.999999999997, 3104.9999999999977, 1168.5000000000002, 1271.4999999999995, 1688.0000000000007, 1346.9999999999995, 1244.0, 1095.0000000000002, 1152.5000000000002, 1135.5, 2013.5000000000002, 1955.9999999999993, 959.4999999999999, 1274.0, 1357.4999999999998, 1552.5000000000002, 1659.5000000000002, 1752.0000000000007, 1697.5000000000002, 1609.0000000000005, 1665.0000000000005]"
5,Linear Regression,41.73,38.49,"[3397.216005141586, 2322.132034132283, 2695.6507595484277, 2184.830280942415, 2537.558249941742, 2167.6671342862487, 2353.735430663294, 1935.49994644258, 1865.0363896486565, 1727.9163686869456, 2028.3854142837338, 1937.7110816604243, 1882.4981965513923, 2195.154247309404, 2116.6761180006674, 2044.0549444395147, 2065.26888658174, 2176.7010834389794, 2239.095334919458, 2436.936385707161, 2427.8412112477117, 2114.0473804189555, 2213.441101395702, 2425.7112610264608, 2694.7647677592176, 2466.491417899287, 2837.637473112884, 2846.1507873815103, 3783.524306545392, 496.9240033690735, 2140.469682465008, 1456.4805904420293, 1973.1822612964966, 1362.1487571270245, 1522.882765227737, 1460.045853703086, 1875.086905289313, 1925.7163007672223, 1551.3124271165823, 1665.7779159896475, 1321.0293696848275, 1638.109070561326, 1227.9253726042607, 1405.7159007208943, 1455.2437126793359, 1612.0398508290862, 1295.7497459886242, 1391.9903452599692, 1448.2860856332622, nan]"
6,Elastic-Net,36.88,31.83,"[3028.874276380072, 1811.5498175543353, 2014.6949191778945, 1224.2931389951948, 1578.481004574399, 1119.641883890823, 1425.150015588599, 952.8227791854852, 1163.2320577167977, 1099.0915308598421, 1526.1385403696029, 1397.7713683136426, 1423.1590328120392, 1747.3794398896705, 1698.8155782979784, 1745.2445755457147, 1740.1276459246928, 1875.9238444653529, 1881.9474654701366, 2072.710722909073, 2053.6173494996096, 1594.6777185129777, 1622.998294906249, 1744.6604069141592, 1960.015859854811, 1699.0790431549128, 2022.6986969663328, 2035.2429204946998, 2911.9955741214358, 254.52469648018536, 1199.8950273102478, 539.6995484867076, 985.4534165691955, 512.6229749252661, 588.9847032546126, 487.79151764567956, 881.0862388983063, 896.7194045002223, 541.7245464791221, 621.2597725776421, 311.7328129004044, 578.7601951773238, 215.0979627015025, 415.8830892522733, 468.0746574294988, 654.9532415951676, 392.72837212285884, 477.275808447004, 541.4671560065552, nan]"
7,Random Forest,29.97,27.27,"[1911.3107948552597, 1462.2896532269058, 1465.1974635542672, 1327.2031993863402, 1497.7276261893746, 1517.7885977696133, 1507.0846467230951, 1581.797936456083, 1587.5476526005405, 1606.0909335125386, 1927.0999993367423, 2134.036685948802, 2147.3113581704565, 2450.538907915319, 2214.320857186538, 2550.8411197459636, 2674.8982281055455, 2928.979840090052, 2964.8410781852895, 3030.5338329889664, 3116.402457739947, 3101.810003623888, 2946.976662354044, 3274.305023038365, 3281.5542905982925, 3332.4055128205127, 3390.0394572649598, 2911.7102722190084, 3029.2378689281736, 2514.028763247304, 2837.359001342542, 2890.6039894377795, 2715.7885188864025, 3033.9018575696496, 2822.665574441956, 2717.025423648307, 3109.3513359199283, 3061.279657348498, 3068.873056471305, 3120.1438795707195, 2706.15277682291, 2696.8792632473037, 2659.1899299139704, 2873.282272019234, 2926.6997601144726, 2795.536511785316, 2749.0979641662693, 2859.611249880554, 2770.8647538488085, nan]"
8,XGBoost,29.75,25.37,"[1464.6345214843748, 1604.947875976562, 1472.644653320313, 1108.103637695312, 1722.2045898437498, 1459.0610351562502, 1572.171020507813, 2316.6818847656245, 1618.841064453125, 1830.3344726562507, 2636.4702148437495, 3013.9284667968736, 2577.3798828125005, 2706.9750976562505, 3676.8825683593773, 2831.5920410156264, 2381.7553710937495, 3643.5136718750005, 2836.478515625001, 3482.82421875, 3830.7487792968777, 2878.3869628906245, 3750.7136230468777, 3571.5280761718727, 3130.0209960937486, 3596.0126953125014, 2873.439453125, 3200.246826171874, 3007.6086425781264, 1689.5751953125002, 1483.1660156250002, 1509.4064941406245, 1481.2364501953118, 2483.4814453124995, 1907.531127929687, 1609.7977294921873, 2362.9379882812495, 2765.2744140624995, 2731.934814453124, 2681.370361328126, 3644.0065917968723, 2853.114257812501, 2380.237548828124, 3655.782958984376, 2852.6235351562495, 3495.093505859373, 3717.711914062498, 2758.0922851562495, 3382.0878906249986, nan]"
9,Light GBM,25.95,21.6,"[2251.457554419131, 1957.078073925994, 2293.2348683896394, 1243.4505836966541, 2112.120337158845, 1899.0138248280196, 2101.4712808275053, 1788.343749888792, 2030.1509559989174, 1723.3176771602386, 2331.8278618092972, 2243.9141352582233, 2035.7656745021666, 2220.0492348333373, 2400.746430803415, 2390.4699180264884, 1777.6549949024381, 2309.9436107719694, 2025.2851198131427, 2161.982585181066, 2049.504992722339, 2592.8504529470792, 2613.016410320703, 2829.1830416643247, 3015.5015595382893, 2857.7189326003436, 2812.6380277668077, 3079.179437599903, 3125.6098624114934, 1782.810150638644, 2134.8492667875776, 1861.4018590272728, 2148.0572080159122, 1926.3687334552951, 1923.7337550725854, 1721.2715901047857, 2119.7664384156433, 2407.74029695262, 1922.266179905987, 2182.3945840596184, 2261.866747622093, 2233.7831636329192, 1564.4569120228848, 2127.185428805257, 1899.785789274623, 2168.4386857231216, 1782.994444142463, 2137.80506158559, 1844.6013186337088, nan]"
10,Simple Exponential Smoothing,27.68,24.87,"[2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583, 2018.6234622115583]"
