,model_name,smape,mape,predictions
1,Naive,55.61,98.61,"[322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006, 322.00000000000006]"
2,Seasonal Naive,92.38,140.29,"[2158.0, 1432.0000000000002, 516.0, 1617.9999999999995, 2253.0, 3730.0000000000023, 3089.000000000001, 1309.0000000000005, 1026.9999999999995, 748.0000000000003, 1032.0, 1551.0000000000005, 1231.0000000000005, 1742.0000000000005, 1240.0000000000005, 1008.9999999999995, 1293.9999999999995, 999.9999999999998, 975.0000000000001, 1090.0, 1522.0000000000005, 962.0, 1255.9999999999998, 1699.9999999999993, 2054.9999999999995, 1712.9999999999995, 2582.0, 2581.000000000001, 1479.0, 1510.0000000000002, 854.0000000000003, 1132.0000000000002, 1117.0000000000002, 1615.9999999999995, 395.00000000000006, 1.0, 129.99999999999997, 703.0000000000001, 872.0, 647.0000000000002, 1238.0000000000002, 1470.0, 1111.0000000000005, 1350.0000000000005, 902.0000000000003, 1585.9999999999995, 845.0000000000001, 619.0, 764.0000000000001, 1442.0000000000005]"
3,Moving Average,,inf,"[1.0, 7168.596794081377, 13724.086350974929, 6643.209573091848, 976.8422590068162, 2955.10796915167, 7184.00741962077, 25088.9066366704, 78843.30711610487, 8382.87755102041, 1904.5643879173292, 1853.3510489510484, 18899.1237113402, 7395.731977818853, 3373.189349112425, 6072.022300469488, 4917.404793608521, 2977.3153745072286, 4251.275714285717, 2620.8032036613267, 1967.9416581371552, 1765.8130400628443, 2166.744680851063, 1108.8504412447746, 1234.294900221729, 2893.706628242075, 4079.657142857139, 5238.523964256701, 8190.381374722839, 5335.687500000002, 3763.6875784190743, 4415.674828599409, 1793.5142348754443, 1157.6515463917528, 844.759084791386, 1423.3040954530798, 520.3871391076116, 1.0, 2.8339210932334145, 129.15509666080845, 3514.033333333333, 8376.914529914526, 1691.327285921626, 1618.8730158730161, 2654.095458758109, 1908.5278895917195, 920.8049001814878, 3140.6892430278895, 1155.9723943661975, 470.11526479750773]"
4,Moving Average,47.76,67.66,"[180.0, 1206.4999999999995, 2284.999999999999, 1794.9999999999998, 974.0, 1067.0000000000002, 1935.5000000000005, 2991.5000000000027, 3409.5000000000027, 2199.0, 1168.0000000000002, 887.5000000000002, 890.0, 1291.5, 1391.0, 1486.4999999999993, 1490.9999999999993, 1124.4999999999998, 1151.5, 1147.0000000000005, 987.5000000000002, 1032.4999999999995, 1306.0, 1242.0000000000002, 1109.0000000000005, 1477.9999999999995, 1877.4999999999995, 1884.0000000000002, 2147.499999999999, 2581.5000000000005, 2030.0, 1494.5000000000005, 1182.0000000000005, 993.0000000000003, 1124.4999999999998, 1366.5000000000002, 1005.5, 198.0, 65.50000000000003, 416.5000000000001, 787.5, 759.5000000000002, 942.5000000000001, 1354.0000000000002, 1290.5000000000005, 1230.5000000000005, 1126.0000000000002, 1244.0, 1215.4999999999995, 731.9999999999998]"
5,Linear Regression,38.32,51.72,"[45.49589837032272, 1449.1159859996587, 1947.7622148478056, 1475.9161653906394, 2015.2995263002792, 1396.977265143256, 1883.8937260708526, 1634.1186005772306, 1198.0617020455038, 342.9531026598561, 1407.1129977257133, 1105.881669784313, 1089.5601478282454, 1017.5003297341071, 1008.1407870343173, 1310.2910930880892, 1194.9918390514408, 1229.8837421367693, 911.0333118506356, 1329.8449439788908, 1314.355562645205, 1040.1551131145322, 1593.1147473672868, 1709.617890205211, 1478.4036442325316, 1675.702140664944, 1233.3199004917112, 1638.188017201346, 2176.9074001650442, 1275.8612504431153, 671.23469326754, 1565.9372852910817, 1998.6497582654001, 1583.4782542951143, 1189.728267570105, 1262.1373285909863, 1233.4538318618554, 826.5814294183052, 1200.9286177970196, 759.1000844364953, 1002.9048936229567, 1347.63627785687, 1367.647959522025, 1225.1371271411774, 1309.752491821569, 1601.485007024967, 1446.9018136162108, 1229.1404204028709, 1127.3567353057847, nan]"
6,Elastic-Net,44.73,63.42,"[253.69589627279134, 1255.1449212234659, 1734.0891489839164, 1329.2817249909153, 1930.5218562279138, 1503.0898463120407, 2014.2415597731267, 1725.9468958236328, 1353.1792505881117, 285.289699715693, 2053.2398033632726, 1792.8566185904745, 1452.5940082979978, 1108.4660295266492, 1151.629432562313, 1412.5494214598814, 1032.0886934638277, 1055.5871064769321, 130.8692738584832, 1892.0695973025138, 2167.1495372408326, 1508.8057177568191, 1651.7929466850067, 1261.375343438338, 1590.91810503223, 1587.9053686180105, 1081.10917204462, 229.36419976493013, 2021.2120776515512, 1617.0477134180526, 1104.5545272198126, 1098.9544038201057, 1028.979825639, 1409.7208649692834, 1049.3026208484662, 1124.4396314689475, 181.2854894362808, 1464.079014745528, 1905.8163355102874, 1426.2746959311014, 1539.527248238271, 1134.4039397317358, 1633.803242933127, 1419.935189562888, 1130.6461447496456, 1.115842286744737, 1681.7770992442, 1788.5476704598257, 1416.227411865728, nan]"
7,Random Forest,24.85,29.12,"[485.12797667320956, 966.2618926344975, 1209.085688054725, 940.9553598814546, 1047.7658107541786, 1126.37594189601, 1279.893966821639, 904.0830817185409, 850.3656314465904, 1288.2168100416668, 914.9786822101543, 1267.0701015138116, 890.0379102043826, 1120.9751399327952, 1294.7486923045017, 1231.0564826225086, 1145.5055131935155, 1111.6839815116316, 1192.9677811527797, 1214.7121962949495, 903.4921087026679, 851.2854779304471, 1256.0654711718716, 919.9590876403967, 1257.5767229614767, 915.8693581377798, 1148.966433312249, 1332.9551482226568, 1280.4024320961942, 1127.4754937795967, 1136.7830454310451, 1150.4685950721932, 1229.3419616937715, 878.6931892887482, 822.1889453660043, 1259.4835664099662, 892.5433356472917, 1249.8411368808897, 880.6848137057825, 1107.4728836914824, 1286.9551173818704, 1202.2105061910452, 1120.3318130464336, 1098.3300895486927, 1173.4338891898408, 1218.2308178488345, 891.9584775092994, 846.5251859675083, 1266.3574319561849, nan]"
8,XGBoost,20.55,18.66,"[334.6466369628905, 773.4801025390625, 950.9044189453123, 355.18121337890636, 295.6777954101563, 860.8981933593748, 1060.068603515625, 945.1162109375003, 253.90774536132812, 303.3378295898437, 509.7095947265627, 306.32342529296864, 454.2840576171876, 200.72097778320304, 549.2072753906249, 640.069641113281, 262.07281494140625, 222.03871154785148, 635.1344604492186, 761.4970092773435, 497.515594482422, 155.297378540039, 247.25619506835935, 342.8454284667969, 139.24449157714847, 237.9336395263671, 210.5253601074219, 441.4698486328126, 442.7124633789062, 215.87841796874991, 212.30870056152335, 642.8836059570312, 299.45562744140636, 229.48887634277352, 78.17043304443362, 155.25228881835932, 204.72529602050773, 103.56531524658207, 231.81774902343741, 137.31748962402347, 295.69619750976574, 288.73825073242193, 140.44087219238278, 140.0600738525391, 414.2769470214842, 300.23138427734375, 238.69136047363273, 101.25572967529295, 147.44738769531253, nan]"
9,Light GBM,30.26,37.07,"[646.4676036684308, 1089.4708578149525, 1155.030119963496, 1015.9589717911829, 958.1055095089644, 1348.7694555506832, 1515.6408785342499, 786.5617848402223, 642.9563827189138, 1202.0306024536758, 1117.8177572855334, 1031.4265838081972, 979.3854157745784, 1240.432118097301, 1405.9468115981717, 1195.5884162350078, 1017.0515744650588, 1075.0433057192788, 1415.211758558443, 1369.2943740033404, 782.5731981480459, 727.2502582555122, 1232.90144245543, 1138.2983437583077, 954.0353647412709, 848.3887320670384, 1213.4219250105712, 1264.4024800167088, 907.5269909068115, 926.5154780248616, 895.9264069273831, 914.3067140025714, 1026.8813136187332, 771.9533989879126, 597.9367119719834, 772.5332140671801, 723.7750833186669, 797.2208033589037, 719.4972804793682, 795.5802342248046, 945.8308527576892, 812.8718093232561, 653.7478827405321, 560.2776443932647, 755.1523299836813, 988.5627345570363, 681.6379323147627, 633.8716197818751, 814.6197749870068, nan]"
10,Simple Exponential Smoothing,48.82,76.03,"[734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517, 734.7727400740517]"
