,model_name,smape,mape,predictions
1,Naive,27.73,30.93,"[1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995, 1474.9999999999995]"
2,Seasonal Naive,64.31,81.89,"[4265.000000000001, 2949.0000000000005, 3917.999999999998, 2045.9999999999993, 1165.9999999999998, 4380.000000000002, 230.00000000000006, 2449.9999999999995, 1948.0, 1892.9999999999998, 2189.0, 4915.000000000005, 1982.9999999999998, 3142.0000000000005, 2832.0, 2895.9999999999995, 3205.999999999999, 2298.0, 2155.9999999999995, 2625.0, 4070.0000000000027, 2633.999999999999, 3423.0000000000014, 4551.0, 4993.999999999998, 2781.0000000000005, 5593.999999999998, 6340.0000000000055, 1870.9999999999993, 776.9999999999999, 3318.000000000002, 1447.9999999999995, 1466.9999999999995, 2878.0, 2147.0, 2147.0, 1231.0000000000005, 4508.999999999997, 1445.0000000000005, 1323.0000000000005, 2407.0, 3222.9999999999986, 2284.999999999999, 2409.0000000000005, 2809.9999999999995, 1955.9999999999993, 1772.0000000000005, 2053.999999999999, 1622.0000000000005, 2729.000000000001]"
3,Moving Average,147.58,1167.98,"[49777.17328519854, 871.0905349794239, 12597.531761624095, 33588.63981042654, 22866.820578231298, 5977.6127450980375, 1861.522388059702, 11506.770616113747, 425.1286173633439, 2915.8542222222222, 4106.041726618704, 3471.323936932635, 4505.056508577195, 17008.421052631576, 7168.21132669114, 8629.065951742627, 11510.00748808714, 11293.07765667574, 10378.12314225053, 5193.314708299098, 3661.4578405188845, 4805.63448275862, 7676.822153325815, 5129.266782911948, 9553.886122637161, 12941.635033892262, 8344.232183505514, 3276.074264928768, 5890.1082746478905, 8543.68669527897, 2731.9784735812145, 679.103038309115, 3249.739172050729, 1112.4975814253469, 699.4720314033364, 3027.84375, 4275.13084853291, 3171.6134251290864, 685.8886689757544, 3407.2291282591536, 1940.6723087339208, 791.1149524632668, 1367.4789762340038, 2392.6402004748097, 1750.0547983310153, 2434.937096079277, 2639.5583363341734, 1232.6344882306264, 1110.5923995291741, 1369.4280983092215]"
4,Moving Average,42.64,72.17,"[7201.000000000005, 2997.0000000000023, 2256.5, 3607.000000000002, 3433.5000000000014, 2982.000000000002, 1606.0, 2773.0000000000005, 2305.0000000000005, 1340.0, 2199.0, 1920.5000000000005, 2041.0000000000002, 3551.9999999999977, 3449.0000000000014, 2562.499999999999, 2987.000000000002, 2864.000000000001, 3051.000000000001, 2752.0, 2226.9999999999995, 2390.5000000000005, 3347.500000000002, 3352.0000000000027, 3028.499999999999, 3987.0000000000027, 4772.499999999997, 3887.500000000003, 4187.5, 5967.000000000004, 4105.500000000002, 1324.0000000000002, 2047.5000000000007, 2382.999999999999, 1457.4999999999998, 2172.5000000000005, 2512.5000000000005, 2147.0, 1688.9999999999993, 2869.999999999999, 2976.9999999999995, 1383.9999999999995, 1864.9999999999993, 2815.000000000001, 2753.999999999999, 2347.0000000000005, 2609.499999999999, 2382.999999999999, 1863.9999999999998, 1912.9999999999998]"
5,Linear Regression,28.55,31.8,"[4527.051274685833, 3668.206087747486, 3134.6277505128173, 2752.184821546923, 2893.2538034621207, 3082.435321931812, 2935.300163765298, 2545.999509327726, 2869.2294287180084, 2739.2884662028873, 2199.605693883592, 3155.841294397892, 2849.9742084386, 3375.441846363509, 3535.656400308401, 3482.834976989859, 3052.935909561761, 3309.272939675533, 3612.7400342100536, 3513.7215163625497, 3533.72551255353, 3165.4590610090813, 3443.716563718372, 4310.390793482929, 4656.9620575725785, 3997.1624967547987, 4611.8410653555375, 4335.48724614281, 6553.764103821108, 3032.0875284418, 3193.606817652211, 4093.870310346876, 3821.388886828699, 4211.039869361032, 3553.836794367197, 3904.062878394056, 4371.913506910759, 3990.787487156747, 2921.424495182817, 3463.0035791510577, 3619.7561075205363, 3665.5776102273458, 3140.7945724347865, 3349.43016571774, 3792.1517773058636, 3565.155068068059, 3111.770482816906, 3402.189857489097, 3579.890271482865, nan]"
6,Elastic-Net,17.48,18.86,"[3882.0329979356725, 3601.3327494134337, 3098.7682624027507, 2547.602913742064, 2582.8320755482846, 2743.521506281994, 2656.960866616192, 2494.23109340879, 2563.913320362202, 2714.2620358517142, 2868.331993088682, 2782.294270662842, 3107.7407087699557, 3629.009946501682, 3832.9630411043076, 3750.6207046794807, 3301.136448491549, 3465.6673338533838, 3719.8603885202783, 3522.568540707254, 3569.335180382555, 3357.3046082927285, 3611.38081232909, 3988.4666632508465, 4560.048093082258, 3976.3128161751542, 4479.143280652025, 5131.557108750219, 4321.572475550414, 3092.637915833833, 2972.5781498021443, 3294.841935385443, 3331.7643122894506, 3537.2879562804183, 3143.094777661006, 3476.383676683927, 3678.337562636815, 3689.105202419956, 2853.065756739044, 3138.7603429669307, 3357.533216057563, 3149.864533945145, 2683.961009003007, 2673.670060381889, 3130.8725818520747, 3087.746950524942, 2697.743121309114, 2860.7846021792384, 3047.3161644735287, nan]"
7,Random Forest,18.35,22.99,"[2908.9096767846017, 3747.676278497587, 1723.8065988086971, 2225.905395729041, 2386.9328707438017, 3546.1028782776825, 2039.433704734966, 2310.0147602166767, 2041.5653783334274, 1721.1238422650517, 3816.6039043789397, 4189.594610946799, 2060.330434132275, 2691.823784117951, 3894.477604278535, 1787.982550232359, 2232.129067773284, 2388.7566822521044, 3552.798029967659, 2059.8774370581996, 2494.0460869931685, 2055.002443989993, 1754.3691685955848, 3631.4196139748965, 3973.8010869007776, 2123.280075014784, 2735.147472205725, 4285.286283216268, 1810.2541720494403, 2127.711177549617, 2316.30090313955, 3523.7040577454345, 1939.963865177741, 2474.146367149777, 1925.6215297479491, 1658.7696495650537, 3592.785692840478, 4019.4504025573424, 2051.3710327158556, 2684.186805286534, 3960.93895904044, 1704.4210461418686, 2259.2287647429807, 2415.856379221801, 3559.7446592605875, 2064.5719514882144, 2310.0147602166767, 2033.2883473088968, 1718.1158263920363, nan]"
8,XGBoost,28.35,38.68,"[2879.054687500001, 4174.089355468748, 1003.8234863281253, 1973.2202148437495, 2541.0214843750005, 4130.042480468746, 2129.115478515625, 2488.9313964843745, 1941.3016357421875, 1960.9219970703123, 4552.471679687504, 3966.4926757812495, 1939.9957275390623, 3272.226318359377, 3760.287597656248, 1026.359619140625, 2210.6828613281255, 2539.8203125000005, 3740.196044921874, 2109.1220703125005, 2938.8486328124995, 1961.5903320312493, 1977.552734375, 4674.631835937497, 3744.7041015625, 2222.8718261718745, 3325.192382812501, 3992.8488769531273, 1092.1245117187498, 2033.1066894531243, 2543.3010253906245, 3550.0942382812473, 2074.3762207031245, 2928.067138671876, 1929.5832519531255, 1960.9219970703123, 4644.790039062496, 3697.0830078124973, 2170.7856445312505, 3272.226318359377, 3563.8535156249995, 1325.1156005859375, 2064.455078124999, 2490.331298828125, 3534.216552734376, 2051.334716796874, 2445.2802734374995, 1843.0599365234377, 1798.1256103515623, nan]"
9,Light GBM,15.67,19.18,"[3510.074312763834, 3587.0006974105104, 1679.000774639961, 2640.9143724693126, 2694.5259392961952, 3178.2949390817776, 2192.3028606620633, 2484.760925094387, 2117.3361682974214, 1882.1943123654733, 3500.2126334463815, 3577.650497643622, 964.6687455373539, 2381.726141609229, 3601.64798929632, 1929.4591065569068, 2463.4036035115596, 2847.7991841150197, 2971.526420763383, 2139.1834644365863, 2583.089298077908, 2026.04994457146, 1998.035923383209, 3238.461941295391, 3939.5347232104396, 1239.0273607623728, 2550.655498275308, 4295.773481141115, 2449.969879999943, 2306.4027283267287, 3062.2803447472957, 3522.743784178965, 2391.918476434005, 2797.8870858335786, 2146.3088486237734, 1920.5561004128072, 3567.8624570718644, 3715.8320030374375, 1063.1458395816942, 2541.257028182735, 3613.767146913499, 1938.32164937238, 2283.066804832791, 2751.375251656146, 2973.47980118816, 2162.38340721166, 2436.594712457009, 1987.890987449344, 1841.0558804472182, nan]"
10,Simple Exponential Smoothing,27.78,31.04,"[2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257, 2282.5319686624257]"
