,model_name,smape,mape,predictions
1,Naive,27.29,26.08,"[464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983, 464.99999999999983]"
2,Seasonal Naive,85.6,175.73,"[955.9999999999997, 985.9999999999999, 3031.0, 2536.9999999999995, 1888.9999999999993, 1041.0000000000005, 1880.0000000000005, 1126.0000000000002, 1176.0, 1126.0000000000002, 699.9999999999998, 1420.0000000000005, 773.0000000000003, 859.9999999999999, 1303.0, 888.0, 1311.9999999999995, 1342.0000000000005, 1056.0, 1355.0000000000005, 2104.9999999999995, 1533.0000000000005, 1658.0000000000005, 1850.9999999999993, 2378.0, 1114.0000000000005, 2419.000000000001, 2655.9999999999995, 1194.0000000000002, 898.0000000000003, 447.00000000000017, 820.9999999999997, 1081.9999999999995, 1635.9999999999995, 850.0000000000003, 603.0000000000002, 654.9999999999999, 1629.0, 461.9999999999999, 676.0000000000001, 1271.0000000000002, 663.9999999999998, 557.0000000000001, 685.0000000000002, 824.0000000000003, 680.9999999999998, 609.0000000000001, 782.0000000000001, 471.99999999999983, 809.9999999999998]"
3,Moving Average,152.68,908.04,"[3546.0231155778906, 3046.342465753426, 1654.965791567223, 1341.9824561403507, 10805.129662522211, 11212.577442414626, 6178.893491124257, 1515.9850746268648, 2747.520280420631, 1990.1112419070034, 1312.8932038834948, 1211.2432179607106, 788.022222222222, 1920.183908045977, 899.2750929368033, 777.6236141906874, 1808.0789980732172, 1448.9067859806112, 1591.2748344370857, 1872.7536842105255, 1669.5016501650168, 2196.010767160162, 3550.0887804878025, 1950.7206860343017, 1601.7794607694643, 1888.678207739307, 2664.0212032865084, 1025.0891115212237, 2235.482596179011, 3482.213491858364, 1797.7373776908023, 1583.050632911393, 355.42485207100594, 495.342857142857, 917.99286033021, 1203.4532900081235, 405.2392179413455, 155.1383448032469, 170.54055727554186, 964.2087114337568, 271.97045582442325, 239.21062441752102, 800.9190414507773, 335.8782336033445, 199.7577712609971, 282.78073089700996, 319.50564971751413, 270.9524564183835, 232.75614087007992, 328.83590208522224]"
4,Moving Average,84.42,173.7,"[1544.0000000000005, 1183.4999999999998, 1089.5000000000002, 971.0000000000003, 2008.4999999999998, 2784.0000000000014, 2213.0000000000005, 1464.9999999999993, 1460.4999999999998, 1503.0, 1151.0000000000002, 1151.0000000000002, 912.9999999999997, 1060.0, 1096.4999999999998, 816.5, 1081.4999999999995, 1095.4999999999998, 1099.9999999999995, 1326.9999999999995, 1198.9999999999998, 1205.5000000000005, 1729.9999999999995, 1818.9999999999995, 1595.5000000000007, 1754.4999999999998, 2114.499999999999, 1745.9999999999998, 1766.5000000000002, 2537.5, 1924.9999999999993, 1046.0000000000005, 672.5, 633.9999999999999, 951.5000000000003, 1358.9999999999995, 1243.0000000000005, 726.5000000000003, 629.0000000000002, 1142.0000000000005, 1045.4999999999995, 569.0, 973.4999999999998, 967.5000000000002, 610.4999999999999, 621.0, 754.5000000000002, 752.4999999999998, 645.0, 695.5]"
5,Linear Regression,38.12,48.49,"[588.515772838542, 625.4383918261153, 652.0960973530673, 297.6042434057853, 662.6486478093609, 577.3779965819448, 739.1512425218717, 312.23637142597727, 315.53158689297203, 301.4993606995194, 127.15370051318679, 732.7210358548436, 848.8178221317102, 809.7970676537404, 849.75443491606, 1135.2747508599389, 845.5535183002681, 944.5836666519464, 1019.6894038302746, 1124.5554768712793, 1054.396300491291, 1159.5564198728027, 1280.9341203064246, 1094.9543796812504, 1115.586530551343, 964.4715042530768, 898.4040519766604, 1061.7892485490631, 1539.844561211678, 51.2221640652715, 214.74692812763178, 234.6967736799451, 5.410559434778406, 22.451338956343537, 217.75416303346714, 194.94816725420608, 221.9340255996721, 332.88035431316894, 825.2873525821306, 1027.640429020132, 1042.7957560777727, 360.4853892694627, 322.63958997663224, 148.9384515956262, 28.07565846721627, 251.07776019425, 134.76397401403298, 167.06992273101423, 196.17888593691893, nan]"
6,Elastic-Net,35.42,45.15,"[605.2911934436399, 703.4628299467621, 604.356243586988, 331.81593897032883, 714.623507701404, 641.4421927708337, 740.6816124167035, 400.56362217464266, 376.37673151493084, 388.8839984584136, 386.5969529792838, 809.0655934701065, 857.8719309772441, 841.4932488049942, 923.9472864539982, 1099.6410628313731, 828.2348923161371, 899.7396160635675, 968.4363654526006, 1047.7672128991087, 1037.1883840732773, 1138.4523779772028, 1282.7819320293052, 1098.6486772475457, 1144.3074553459942, 1032.1716852118602, 1000.3220321817155, 1186.7730640651807, 990.0787502166073, 44.94454589387532, 70.53552483996464, 51.400189173684346, 56.91781845992228, 128.77695745890566, 211.3013112657136, 239.8567579855771, 189.11598929525638, 95.71955291825724, 541.4022557641422, 629.1404594564935, 584.1796621109769, 213.2599543498618, 264.9390247970568, 104.35878692982081, 26.703193367735366, 102.68013620625062, 39.23290783244556, 7.268659801531612, 45.236308450745135, nan]"
7,Random Forest,26.27,28.29,"[772.4619210908374, 1135.7596143375627, 1334.7436481310356, 1236.867127278326, 1503.9029742304476, 1943.4594464096967, 1879.9505202802704, 1901.1534625071617, 1942.0245760843736, 2043.4835696439181, 2043.3262384750876, 2002.697455466429, 2025.955651895, 1810.014037302709, 1991.5202889801374, 1814.2051995043958, 1744.431252539617, 1917.164229373078, 1920.0622293730776, 1926.3804739618224, 1900.385307295155, 1890.7037413610897, 1980.8587889801374, 2017.834425343774, 2018.718806296156, 2051.605996772346, 1856.1638614785338, 2009.1383041316533, 1824.7735409962372, 1716.8924192062836, 1923.738729373078, 1915.4627293730782, 1933.522473961822, 1915.2973072951556, 1905.933408027757, 1981.6359556468044, 1996.3992586771074, 2011.2451396294894, 2029.1628301056785, 1827.8824230169948, 1980.4952889801384, 1800.7401995043954, 1742.6262525396173, 1925.9092293730776, 1928.4772293730778, 1937.5654739618217, 1909.2699739618226, 1908.386765170613, 1984.1663127896618, nan]"
8,XGBoost,24.72,25.36,"[807.4768676757814, 955.8892211914061, 946.2919311523436, 949.7788696289065, 1263.5079345703125, 1260.4013671874998, 1474.264282226563, 1619.2689208984382, 1736.7852783203118, 1870.1326904296877, 1735.7824707031245, 1828.9562988281255, 1663.5805664062505, 1573.8931884765618, 1663.1536865234373, 1766.2797851562502, 1677.955078125, 1784.6416015624995, 1709.548950195313, 1651.491333007812, 1697.7039794921875, 1774.790649414062, 1878.693603515625, 1867.3898925781255, 1805.7005615234382, 1751.332153320313, 1699.9957275390625, 1846.065673828125, 1960.8377685546873, 1631.140991210937, 1753.629516601562, 1667.110107421875, 1666.5107421874995, 1667.8481445312505, 1653.3039550781255, 1706.9266357421873, 1695.5605468749998, 1694.1143798828123, 1600.0406494140632, 1576.6192626953132, 1704.5201416015632, 1827.1494140625005, 1677.5366210937493, 1808.7098388671882, 1690.6575927734375, 1652.6517333984368, 1614.49560546875, 1628.6253662109368, 1718.3349609374998, nan]"
9,Light GBM,24.97,26.49,"[782.3688092402194, 861.5186167203478, 1085.2672522284845, 1066.8036865230386, 1609.8977161703117, 1361.4161721894104, 1535.956116646986, 1608.0445019613303, 1721.8483011761098, 1901.3626533341883, 1833.2761764262268, 1760.4852483878124, 1737.3842348776836, 1663.3853743220468, 1657.7319292634372, 1864.2963299484622, 1650.872258409364, 1842.6768774686727, 1718.5173354593123, 1809.5191266765498, 1761.3484147049153, 1811.430631336471, 1931.5283593807887, 1857.540840871922, 1771.5608415929808, 1744.744947595946, 1720.7947373679553, 1856.4425093430316, 1867.9323268218543, 1597.9900798359, 1771.8714283266825, 1632.3773222917018, 1703.8079716185846, 1704.9527828109758, 1762.612269481717, 1832.2957854584013, 1780.223539860269, 1675.7408641349982, 1611.1933928962912, 1528.2661413636843, 1617.7649017509839, 1893.4356967342092, 1670.3363170965463, 1906.6455026447084, 1716.1692353620115, 1776.4033113884643, 1767.3340712021873, 1799.3944677557931, 1885.157782189027, nan]"
10,Simple Exponential Smoothing,27.37,28.66,"[827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068, 827.8317036773068]"
