,model_name,smape,mape,predictions
1,Naive,31.74,39.6,"[2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995, 2106.9999999999995]"
2,Seasonal Naive,69.58,103.72,"[3065.9999999999986, 9416.00000000001, 5597.000000000004, 6737.0000000000055, 5097.999999999996, 4141.000000000002, 5208.000000000004, 4591.999999999999, 8189.999999999997, 4698.000000000001, 4292.000000000001, 4993.999999999998, 3029.9999999999995, 1761.9999999999993, 1614.0000000000007, 1379.0000000000002, 3080.9999999999995, 2379.999999999999, 2410.0, 2253.0, 3246.9999999999973, 3091.999999999999, 4490.999999999999, 5111.000000000004, 5657.000000000002, 3202.0000000000023, 6247.999999999997, 7643.999999999995, 1946.0, 950.0000000000001, 3572.0000000000027, 2337.999999999999, 2400.0000000000005, 4397.999999999997, 2048.0, 1891.0000000000002, 1813.9999999999993, 3527.9999999999977, 1418.0, 1249.0, 2858.0000000000005, 3434.9999999999995, 2410.0, 2772.0000000000005, 2241.000000000001, 3238.0000000000014, 2038.0000000000005, 1506.0, 1863.9999999999998, 1663.0000000000005]"
3,Moving Average,143.88,856.25,"[26065.70300157978, 20336.659824046917, 13210.790619765492, 66799.86299033537, 111408.89920424402, inf, 87032.45887445884, 54475.61538461538, 30211.942892613293, 15233.85404673214, 39718.42694497155, 30158.220727453896, 20893.474539544954, 17533.152798789724, 12000.327407407398, 11798.468531468534, 12540.774193548381, 1830.3821571238357, 4032.3094539048734, 4273.026644736843, 3721.7393548387113, 3458.368906455863, 4156.182305005818, 3872.8456216643617, 5803.70883054893, 8015.376735827477, 6818.341692789967, 2965.6823172644577, 8149.785862211791, 15528.463799912253, 4036.632979874485, 877.6058091286304, 9557.494967436354, 41463.45045045045, inf, 21638.952208544528, 8522.232558139536, 2526.7739307535644, 802.903846153846, 1702.8324749254548, 720.0442368880225, 459.2419399283549, 2102.4128292420723, 2874.1605266657793, 2050.1755714077735, 7232.123425692699, 2173.370814786144, 1988.5615470852015, 2386.773484343771, 931.6407122905031]"
4,Moving Average,55.42,71.64,"[3850.4999999999977, 4471.000000000001, 3860.499999999998, 6241.0, 7506.499999999999, 6167.000000000004, 5917.500000000005, 4619.500000000003, 4674.5, 4900.000000000004, 6391.000000000004, 6444.000000000005, 4495.000000000004, 4643.000000000004, 4012.0000000000023, 2396.0, 1688.0000000000007, 1496.4999999999998, 2230.000000000001, 2730.5000000000005, 2394.9999999999995, 2331.5000000000005, 2749.999999999999, 3169.4999999999995, 3791.4999999999986, 4801.000000000003, 5383.999999999997, 4429.499999999999, 4725.000000000002, 6945.999999999994, 4795.000000000002, 1447.9999999999995, 2261.0, 2955.0000000000014, 2369.0, 3398.9999999999986, 3222.9999999999986, 1969.5, 1852.4999999999995, 2671.0000000000005, 2472.999999999999, 1333.5000000000005, 2053.5, 3146.499999999999, 2922.499999999999, 2591.0, 2506.4999999999995, 2739.5, 2638.0, 1772.0000000000005]"
5,Linear Regression,32.05,41.0,"[3002.3394358250043, 3167.195420343002, 3860.3861106379445, 3334.852427445711, 3343.665391757284, 4021.0751791132166, 4714.644797034328, 4227.396827290736, 4843.488541837836, 4742.995897070531, 4141.277747603995, 3850.009684579272, 3296.1091268612254, 2617.8320942030755, 2218.7503339306463, 1895.270143458381, 1366.6350789818, 1206.9738289771647, 2220.6795160206907, 3011.7971671795767, 3125.496516745027, 2743.943045768459, 3162.130753647421, 3241.5542305053345, 3298.354112503116, 3356.1138393682827, 4182.970538206538, 5444.804539023448, 7636.910323662135, 4607.6965973506285, 4945.65665791752, 5063.591177496307, 4877.322264897387, 4839.714642314688, 4923.628252684768, 4631.1763160061455, 4517.326011884906, 3807.5995113912663, 2496.063337897947, 1031.0120448595203, 299.0804225797889, 443.07910388132916, 704.5510129671549, 1225.585301961966, 3103.301579741101, 3911.8402282479633, 3581.5953320740737, 3827.3474894055817, 4069.78802581505, nan]"
6,Elastic-Net,26.17,31.86,"[2587.74016079989, 2367.587155978116, 2744.8452375859592, 2205.2940645492863, 1865.5310693341114, 2422.9946433538107, 2960.415423513612, 2522.7056594877818, 2613.6977700383604, 2793.5461677940807, 2603.0120530935933, 2305.141024820143, 2378.1418046706217, 2379.761064607003, 2621.3861869325333, 2554.200190753186, 2164.161696150898, 1382.8665777265028, 1668.0274212322413, 2114.196164217681, 1991.8040378181795, 1903.892971409049, 2255.5642576911805, 2384.9180376672725, 2379.464622298261, 2396.5172217835375, 2519.925383545242, 3608.756625985844, 2846.941248774934, 2356.8648813526434, 1986.1099755545215, 1954.2021205030157, 2141.5244960538244, 2098.53490159367, 1716.727685521582, 1754.7319757107307, 1808.5697625755947, 1802.3740955240175, 1852.774213667922, 1770.8703002344057, 1992.2827379741832, 1894.6076687466357, 1550.8637270150844, 1134.8752238382547, 1612.4657477291091, 1978.8837227125061, 1547.9804659574422, 1802.3607585994826, 2016.9267343074912, nan]"
7,Random Forest,16.59,16.48,"[2346.509592705907, 4313.939727343464, 2791.2622789781813, 4531.686852873982, 2103.657661082188, 3072.081843047116, 2621.4497285869056, 2357.5110980109457, 2298.692994925144, 4313.423356519844, 3996.4656320969516, 2611.7267003547045, 4778.239887006657, 2786.8160520384545, 4728.174321280575, 2509.5066229554454, 4599.615188108191, 1978.6506867166843, 3162.3174186104457, 2436.6475307504297, 2557.2768631308163, 2262.2918237639524, 4383.369879247114, 3919.9134326020007, 2525.206868684718, 4734.1860122980315, 2641.010282773405, 4819.5403311873315, 2340.171731689304, 4515.34130583306, 1961.9941855854624, 3146.5481649307876, 2413.4364217760694, 2507.629619541073, 2380.78390185253, 4274.190523186507, 3968.693632096952, 2504.2870097103573, 4733.75848957076, 2611.0646149755175, 4725.177941081522, 2465.502041758865, 4597.786438108187, 1986.2065445598219, 3173.3618760419017, 2437.6562807504297, 2271.2491416617395, 2263.560368641296, 4416.519232588216, nan]"
8,XGBoost,22.26,23.08,"[2166.1804199218745, 2795.875976562501, 2697.9150390624995, 3977.270996093751, 1955.0919189453127, 2177.3083496093745, 2009.586791992187, 1738.470947265625, 1922.4194335937493, 2349.0219726562505, 2917.108886718751, 2705.096923828125, 4045.1162109374973, 2312.4189453125, 4277.557617187496, 2477.0883789062495, 3873.6806640625005, 1711.7183837890625, 2212.101806640624, 2222.8762207031255, 2710.619140625, 2000.3518066406257, 2386.620361328125, 3307.5866699218723, 2227.27392578125, 4404.849121093752, 2538.705810546876, 4442.415039062502, 2327.7170410156245, 3866.9392089843755, 1657.3297119140632, 2284.0908203125, 2492.417968750001, 2959.9772949218755, 2215.2795410156255, 4095.2404785156264, 3619.5754394531255, 2426.8129882812505, 4892.039550781252, 2486.7514648437495, 4077.3889160156255, 2295.779052734374, 4230.840332031248, 1769.2086181640623, 2208.2172851562495, 2219.192138671874, 1931.0157470703127, 1969.9980468750005, 2284.190917968751, nan]"
9,Light GBM,27.91,23.34,"[2600.7857343296823, 2372.2791939439826, 2089.8254619198865, 2495.412761058781, 1293.7525973483594, 2101.8096158610088, 2165.0816680079774, 2340.8880983822473, 2136.6850295034874, 2736.7216453942056, 2888.314390605951, 2522.3510953500413, 3194.8928504261203, 2505.2629346073945, 3002.8959584408826, 2287.1356970173865, 2537.4363078293422, 1363.8600307306876, 2431.364603350537, 2167.625142382292, 2305.248571377532, 2176.0778837191842, 2792.9299886840654, 2831.6469547837537, 2459.873502362607, 3198.0217911885507, 2501.4434554729933, 3227.573304326123, 2166.862880633163, 2551.141960880377, 1293.3576800885473, 2554.22043095039, 2058.3406432329657, 2193.02411746765, 2068.2142259832945, 2660.423033362177, 2686.6061277704907, 2420.648690445933, 3201.0357017489714, 2427.723893265819, 3006.01014539315, 2351.3370371738033, 2612.0051964127993, 1336.5491120995403, 2504.730601762345, 2062.923132515247, 2261.287948502982, 2140.319386824627, 2851.7491883109724, nan]"
10,Simple Exponential Smoothing,27.65,33.31,"[2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065, 2121.5041859673065]"
