,keg_sales,brand_name
2022-06-13 17:53:23.418685,3341.373827599892,Spaten
2022-06-20 17:53:23.418685,12630.632862743643,Spaten
2022-06-27 17:53:23.418685,30083.275700247523,Spaten
2022-07-04 17:53:23.418685,62091.758574012536,Spaten
2022-07-11 17:53:23.418685,119242.82382535373,Spaten
2022-07-18 17:53:23.418685,222760.59855332764,Spaten
2022-07-25 17:53:23.418685,410499.55230828986,Spaten
2022-08-01 17:53:23.418685,750876.9443701645,Spaten
2022-08-08 17:53:23.418685,1369416.1776754896,Spaten
2022-08-15 17:53:23.418685,2494321.6331754066,Spaten
2022-08-22 17:53:23.418685,4540251.949778473,Spaten
2022-08-29 17:53:23.418685,8261836.932147066,Spaten
2022-09-05 17:53:23.418685,15030557.632875368,Spaten
2022-09-12 17:53:23.418685,27341020.399445873,Spaten
2022-09-19 17:53:23.418685,49729934.35466815,Spaten
2022-09-26 17:53:23.418685,90448571.51354098,Spaten
2022-10-03 17:53:23.418685,164503535.13168412,Spaten
2022-10-10 17:53:23.418685,299186297.2171024,Spaten
2022-10-17 17:53:23.418685,544132231.4049987,Spaten
2022-10-24 17:53:23.418685,989612879.3863208,Spaten
2022-10-31 17:53:23.418685,1799804169.736273,Spaten
2022-11-07 17:53:23.418685,3273291593.9687634,Spaten
2022-11-14 17:53:23.418685,5953110231.718557,Spaten
2022-11-21 17:53:23.418685,10826872063.530663,Spaten
2022-11-28 17:53:23.418685,19690738572.556812,Spaten
2022-12-05 17:53:23.418685,35811372127.395996,Spaten
2022-12-12 17:53:23.418685,65129821898.053856,Spaten
2022-12-19 17:53:23.418685,118451019772.2286,Spaten
2022-12-26 17:53:23.418685,215425799624.88565,Spaten
2023-01-02 17:53:23.418685,391792952304.31024,Spaten
2023-01-09 17:53:23.418685,712550291388.1133,Spaten
2023-01-16 17:53:23.418685,1295908751579.0042,Spaten
2023-01-23 17:53:23.418685,2356857486795.2563,Spaten
2023-01-30 17:53:23.418685,4286395319342.3564,Spaten
2023-02-06 17:53:23.418685,7795628258216.502,Spaten
2023-02-13 17:53:23.418685,14177838346887.88,Spaten
2023-02-20 17:53:23.418685,25785105895598.816,Spaten
2023-02-27 17:53:23.418685,46895138012211.54,Spaten
2023-03-06 17:53:23.418685,85287761779443.84,Spaten
2023-03-13 17:53:23.418685,155112078085335.16,Spaten
2023-03-20 17:53:23.418685,282100928265150.06,Spaten
2023-03-27 17:53:23.418685,513054397245291.94,Spaten
2023-04-03 17:53:23.418685,933087374616345.5,Spaten
2023-04-10 17:53:23.418685,1696997537377411.2,Spaten
2023-04-17 17:53:23.418685,3086314015388401.5,Spaten
2023-04-24 17:53:23.418685,5613051281321217.0,Spaten
2023-05-01 17:53:23.418685,1.0208405408405468e+16,Spaten
2023-05-08 17:53:23.418685,1.85659342413511e+16,Spaten
2023-05-15 17:53:23.418685,3.376569605771387e+16,Spaten
2023-05-22 17:53:23.418685,,Spaten
