,model_name,smape,mape,predictions
1,Naive,42.52,56.18,"[1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0, 1077.0]"
2,Seasonal Naive,124.84,140.72,"[3054.9999999999986, 1.0, 235.0, 1.0, 1.0, 3319.9999999999995, 1982.9999999999998, 2064.999999999999, 2151.0, 1735.0000000000005, 2094.0000000000005, 1845.0, 1589.0000000000007, 1754.0, 1984.999999999999, 1081.9999999999995, 2024.9999999999995, 995.0, 1495.9999999999993, 2054.9999999999995, 4767.000000000004, 1903.9999999999993, 3044.0000000000014, 3440.000000000003, 3868.0, 2142.0, 4645.999999999997, 4931.000000000002, 1216.9999999999995, 665.0, 2981.000000000001, 1895.9999999999993, 1691.9999999999995, 2190.000000000001, 1285.9999999999998, 1149.0, 2236.0000000000005, 2429.0000000000005, 1787.9999999999993, 1231.0000000000005, 2999.0000000000023, 1494.0000000000002, 1601.9999999999993, 2436.000000000001, 2482.999999999999, 1335.9999999999995, 1161.9999999999995, 1918.0000000000007, 1738.0000000000005, 3213.9999999999995]"
3,Moving Average,160.12,1053.1,"[1.0, 5300.633486238536, 8387.154042553195, 1.0, 522.4857142857145, nan, nan, 268678.09756097547, 5974.042637862423, 3885.1600000000035, 20973.453703703697, 1122476.9999999993, 1334986.1666666663, 1451966.6, 5137.678605089537, 3170.249458874461, 3589.6776379477283, 1353.3530612244901, 3122.967213114756, 1120.7805151175817, 1249.2572962093252, 3472.2600000000007, 11859.489602334923, 3891.5907418761512, 3789.2401208155015, 5145.610662358639, 3913.519318653929, 1618.3931849616492, 5624.7234611953645, 7984.214950109933, 2003.0187516742571, 846.7452574525744, 5530.0835030549915, 5188.043795620435, 13720.289592760175, inf, 12033.587601078158, 7529.528301886798, 1599.859166842884, 1276.1170176821715, 1324.5292567211393, 809.4771241830066, 1927.0817504938452, 1014.7682189295437, 1607.7122932208881, 3826.48073180226, 4753.334112149531, 1542.3475499092556, 351.74509803921563, 649.5519894482303]"
4,Moving Average,33.34,38.59,"[58.50000000000001, 1700.4999999999993, 3227.5, 1528.0000000000005, 118.00000000000004, 118.00000000000004, 1.0, 1660.5000000000007, 2651.5, 2024.0000000000007, 2108.0000000000005, 1943.0000000000005, 1914.5, 1969.5, 1717.0000000000005, 1671.5000000000005, 1869.5, 1533.4999999999993, 1553.4999999999998, 1510.0000000000002, 1245.5000000000005, 1775.5000000000002, 3410.999999999999, 3335.5000000000023, 2473.999999999999, 3241.9999999999977, 3653.9999999999986, 3004.9999999999977, 3393.999999999998, 4788.500000000003, 3073.999999999998, 940.9999999999997, 1822.9999999999998, 2438.5000000000005, 1794.0, 1940.9999999999995, 1738.0000000000005, 1217.5, 1692.5, 2332.5000000000005, 2108.5000000000005, 1509.5000000000002, 2114.9999999999995, 2246.5, 1548.0000000000005, 2019.0000000000007, 2459.5000000000005, 1909.4999999999993, 1249.0, 1539.9999999999995]"
5,Linear Regression,36.61,42.29,"[4828.458350536619, 15968.64460823353, 35306.11621558051, 67865.58638104504, 121659.06117836235, 212188.397670543, 365463.92640173703, 625180.5009658646, 1066254.281173007, 1816270.4277809015, 3091812.18423626, 5262020.085090826, 8952872.00090771, 15229392.629453994, 25901995.50438194, 44049676.95450998, 74908047.23514569, 127379133.59535635, 216600658.1271647, 368313061.1241131, 626285367.7033473, 1064942928.5727974, 1810839430.1981556, 3079166214.1890855, 5235836618.048597, 8903051268.246147, 15138803663.45875, 25742111881.04993, 43772034894.40184, 74430220919.62413, 126561573178.39273, 215206019685.1827, 365937537138.264, 622242261205.7043, 1058064261441.2976, 1799138453457.219, 3059265197004.4355, 5201991832177.95, 8845496310069.209, 15040931911692.56, 25575685616795.633, 43489040344741.0, 73949009945967.28, 125743314372306.22, 213814642286435.56, 363571625924899.44, 618219247116466.8, 1051223501096033.4, 1787506381286639.2, nan]"
6,Elastic-Net,29.4,30.17,"[3341.373827599892, 12630.632862743643, 30083.275700247523, 62091.758574012536, 119242.82382535373, 222760.59855332764, 410499.55230828986, 750876.9443701645, 1369416.1776754896, 2494321.6331754066, 4540251.949778473, 8261836.932147066, 15030557.632875368, 27341020.399445873, 49729934.35466815, 90448571.51354098, 164503535.13168412, 299186297.2171024, 544132231.4049987, 989612879.3863208, 1799804169.736273, 3273291593.9687634, 5953110231.718557, 10826872063.530663, 19690738572.556812, 35811372127.395996, 65129821898.053856, 118451019772.2286, 215425799624.88565, 391792952304.31024, 712550291388.1133, 1295908751579.0042, 2356857486795.2563, 4286395319342.3564, 7795628258216.502, 14177838346887.88, 25785105895598.816, 46895138012211.54, 85287761779443.84, 155112078085335.16, 282100928265150.06, 513054397245291.94, 933087374616345.5, 1696997537377411.2, 3086314015388401.5, 5613051281321217.0, 1.0208405408405468e+16, 1.85659342413511e+16, 3.376569605771387e+16, nan]"
7,Random Forest,38.78,41.92,"[1869.407193747962, 2992.2111221404743, 1753.561214561582, 1370.191872294372, 2733.434924894911, 2696.668788775312, 1535.6962971946355, 2683.7336902904635, 1672.3472079864573, 1625.4063074229687, 1714.525258233596, 2902.2071088691087, 1563.467808863043, 1732.5660280748662, 2748.3513996338975, 1764.6692752525253, 1403.3308658008657, 2687.208554395802, 2733.779186250061, 1585.5522542653428, 2777.6141029167256, 1724.4476637945381, 1626.7356256047874, 1752.0996887891524, 2865.895664424662, 1593.4637823478913, 1780.5385419637553, 2782.9801734434213, 1804.671206529581, 1332.2590476190471, 2629.310669547319, 2679.7638014015743, 1532.5372542653422, 2705.3045514015757, 1646.2930539460544, 1569.8929740896356, 1712.458313789153, 2817.7565422024395, 1556.5195588630431, 1707.21865200649, 2754.44501074501, 1732.5367752525256, 1368.676047619048, 2647.9670695473187, 2677.3881775920513, 1518.8972542653416, 2637.278951401575, 1631.5913872793878, 1601.9129740896358, nan]"
8,XGBoost,35.65,31.94,"[1478.382202148438, 2626.400146484375, 1293.34716796875, 1651.5303955078127, 2825.382568359376, 2369.824707031251, 1196.7822265625002, 2552.2526855468745, 1154.06396484375, 1549.9863281249993, 1420.4708251953123, 2820.0170898437514, 1138.6051025390625, 1300.2950439453127, 2579.317382812501, 1418.9775390625, 1577.7574462890627, 2660.0031738281245, 2486.2529296874995, 1095.777709960938, 2558.996093749999, 1396.6380615234373, 1675.961059570313, 1539.6677246093757, 2710.218994140624, 1389.6782226562495, 1536.278442382813, 3113.6362304687486, 2488.837646484375, 1372.2541503906248, 2511.59326171875, 2491.5349121093745, 1332.789184570312, 2771.2304687500005, 1256.021484375, 1434.0856933593757, 1400.0214843749995, 2754.03955078125, 1247.3062744140627, 1269.2589111328125, 2603.883789062499, 1453.9189453124998, 1449.2392578125005, 2610.120361328125, 2522.6950683593755, 1202.3447265624998, 2622.938232421875, 1291.1322021484377, 1622.743286132812, nan]"
9,Light GBM,42.76,38.56,"[2069.327858067008, 2815.380533679628, 1458.3333422952107, 1052.4350017504635, 2428.4946025974245, 2334.623241271544, 1621.620562460383, 2410.299258342277, 1492.0265099370683, 1390.9390426802918, 2001.544114479663, 2309.776354173403, 1474.465695034933, 1451.7669446340103, 2587.5496629590402, 1550.9797813300122, 868.4659877494643, 2026.0001452177105, 2197.729723251317, 1380.649188671609, 2313.6797626594275, 1571.199178593943, 1642.12633689668, 1670.673984506847, 2577.4895328437033, 1672.3685210610256, 1602.8171855863893, 3100.355942970699, 1873.5939604372925, 324.054535879201, 1922.7498251728055, 2095.5279291942024, 1519.880299927151, 2275.558689873052, 1492.0102044363477, 1117.4729731271311, 1575.9744979464997, 2269.8498429137867, 1572.734521414206, 1620.3920385108022, 2431.6742994334263, 1416.2881243603133, 792.4241237272157, 1878.0192237713554, 2153.9834935410818, 1210.5211640338352, 2093.659012855676, 1370.3069101067367, 1372.6820157887591, nan]"
10,Simple Exponential Smoothing,38.17,42.04,"[2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988, 2221.1201125314988]"
