,model_name,smape,mape,predictions
1,Naive,23.74,23.45,"[4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001, 4093.000000000001]"
2,Seasonal Naive,34.76,45.62,"[11128.000000000004, 12218.99999999999, 8953.999999999998, 12817.999999999993, 6559.0, 5349.0, 8195.000000000002, 10008.999999999998, 10621.999999999993, 6636.999999999995, 7770.9999999999945, 8680.000000000005, 6729.0000000000055, 6060.0, 6774.000000000001, 8181.000000000005, 6954.999999999995, 5243.000000000005, 7553.0, 7589.000000000004, 9466.0, 7095.000000000001, 9423.999999999993, 12074.999999999998, 14358.000000000002, 7906.0, 15038.0, 17809.000000000007, 5875.000000000002, 2421.999999999999, 2540.9999999999995, 3562.0000000000023, 8683.999999999993, 9418.000000000002, 5361.0, 4482.999999999999, 6513.000000000001, 12125.999999999996, 5221.999999999998, 4708.000000000004, 5906.999999999997, 5579.999999999995, 7338.000000000003, 5945.999999999999, 7205.0000000000055, 5706.000000000003, 7342.9999999999945, 7057.999999999996, 4397.999999999997, 6589.999999999995]"
3,Moving Average,130.47,478.43,"[8350.778706800438, 33709.64900662251, 46327.29949804799, 46622.3157894737, 23768.268087774293, 34874.90201224848, 19007.91847419596, 10309.124979763645, 20572.588431590655, 35818.06960283132, 38629.45715796898, 19125.49098196392, 19889.88059701491, 18310.717968449415, 13787.18114110919, 14688.475450236967, 12585.873443382567, 14288.52949421797, 14003.373070782334, 9230.310235311104, 9731.139778449136, 10817.525750870915, 14118.610863290485, 8983.912441691522, 11530.720053337276, 19213.04870466321, 22391.24468963891, 9516.578566021406, 15401.15418954512, 23735.124330465846, 9095.408211297072, 2280.9948910081753, 1301.5408194860154, 1725.806367100667, 7351.802184885567, 8965.326285894604, 3807.2722860300846, 2621.7131653992406, 3969.345878831548, 10973.789404680978, 3598.928806960388, 1979.9572287625977, 3917.2997813183356, 3161.9104138917655, 3838.5594071434334, 3895.716878760971, 6118.630844742961, 4606.455881433306, 5349.170063089724, 6019.701830243438]"
4,Moving Average,38.19,49.45,"[5999.999999999995, 8132.000000000004, 11198.499999999995, 11673.499999999998, 10586.5, 10886.000000000004, 9688.500000000002, 5954.0000000000055, 6771.999999999996, 9102.0, 10315.500000000007, 8629.500000000005, 7204.000000000001, 8225.500000000005, 7704.5, 6394.499999999997, 6416.999999999998, 7477.500000000002, 7568.0, 6098.999999999998, 6398.000000000005, 7571.000000000006, 8527.500000000005, 8280.5, 8259.500000000002, 10749.499999999996, 13216.499999999998, 11132.000000000005, 11472.000000000002, 16423.499999999996, 11841.99999999999, 4148.500000000001, 2481.5, 3051.499999999999, 6123.000000000003, 9051.0, 7389.4999999999945, 4922.000000000003, 5498.000000000004, 9319.5, 8674.000000000007, 4965.000000000002, 5307.499999999996, 5743.500000000002, 6459.0000000000055, 6642.000000000004, 6575.499999999999, 6455.5000000000055, 6524.499999999995, 7200.500000000004]"
5,Linear Regression,36.79,35.74,"[708.9275446524658, 6144.323626066622, 8092.483697746735, 4169.180979424559, 2640.6555493827177, 5531.693860944943, 6633.274608457395, 5178.657134359342, 5199.856513159088, 7190.916423181664, 6049.780836556965, 5474.708796802196, 6340.660837931412, 5922.719403469608, 6178.390170958901, 5593.759510146483, 5284.335768680099, 2407.349233054363, 2881.1042980857537, 2450.062443169219, 2895.765227155363, 2680.13342805176, 2525.879132131118, 2170.4530882454706, 1588.5000696421673, 1763.1414644242066, 1883.075620865247, 916.8717441151731, 11627.391219263995, 3788.7681145914307, 1293.8872508165873, 3792.873358214466, 2260.234252343847, 440.1402502787817, 2965.6355787849775, 437.7449434191012, 2145.9829716124764, 893.9300148023013, 294.846235587022, 220.01248087394373, 1613.812146703373, 2222.9388276613745, 2234.867112749479, 4241.378694051257, 2971.9658605472755, 2998.2888348369083, 2022.8783118773847, 3115.747023166908, 2422.241552335235, nan]"
6,Elastic-Net,29.22,37.64,"[3207.370457176355, 5426.944839111103, 6679.797728169739, 4910.426773914006, 4830.492097791022, 5995.403665828692, 6826.906619236569, 5583.101216305865, 5733.215208094992, 6704.959251864389, 6954.256638261184, 5714.2358379603065, 6843.34975725201, 6463.702316276813, 6771.117593463718, 6317.657016818848, 6446.714880154619, 5729.160802637568, 5326.11682010255, 5587.287686846614, 5884.244957695093, 5707.938596435622, 5609.271325695656, 6102.637674002979, 5936.080208673621, 6204.446074392922, 6235.575492574008, 8987.946621519905, 6638.484896259199, 3229.4200640814242, 2873.5104398229405, 2556.1068949720575, 3088.2931423742843, 4186.3428087593675, 3697.9811915070222, 3233.662171692622, 3310.779908396954, 2771.012273684476, 2786.2494637402356, 2718.136517316971, 3427.718191619795, 3132.4359413124394, 2186.2147220330057, 1830.9399338014043, 1742.4259300493763, 2217.919289579851, 2358.4171712517236, 2201.936576804599, 2204.441007458271, nan]"
7,Random Forest,22.46,29.16,"[5721.725017954553, 7123.3761286346335, 7315.569137161421, 6612.400871513782, 6639.660906537382, 6285.949000968765, 6343.129691123384, 6717.0362091331535, 6513.813093792933, 6521.771905481246, 6834.177201395278, 7117.557772334847, 6887.100399778082, 7149.303524003652, 8207.867640002427, 8743.041094889973, 8353.16405826331, 8534.0837137817, 8962.483393953771, 8912.284790779158, 9161.820691052799, 9010.010566192672, 9220.638707218315, 9512.765484923946, 9846.367186611154, 9652.153117404427, 9845.54863474983, 10377.274273872128, 10769.164984550347, 9038.972343433406, 9367.218595570157, 9243.21706978631, 9034.531553913292, 9252.273699642566, 8917.733171504025, 9056.672979196344, 9167.939115876334, 9389.814484230192, 9279.974998356794, 9604.207182368873, 9558.333853237224, 9588.991373078477, 9131.277510333506, 9364.053251481246, 9258.310595052699, 8969.15507917969, 9016.882711380817, 8686.798160487266, 8857.445660487276, nan]"
8,XGBoost,21.08,30.17,"[6102.924804687497, 7511.877441406245, 7585.894042968752, 7297.589843750005, 5974.159179687495, 6058.900390625005, 6491.0161132812445, 6526.766113281246, 5655.106445312498, 5769.131835937498, 6413.168457031248, 6602.922851562496, 5060.635253906247, 6183.8881835937555, 7195.695800781252, 6823.174316406248, 6374.87109375, 5927.577148437496, 6160.442382812503, 6255.953613281249, 6277.594238281253, 6230.001953124996, 5864.151367187496, 6496.145019531245, 6680.884277343747, 5443.516113281246, 5343.327636718751, 6230.962402343745, 8463.794921875004, 7360.466796874995, 5710.095703125001, 5656.120605468752, 5895.600097656245, 6165.375976562496, 5846.088867187501, 5451.679199218747, 5247.585937499998, 6091.896484374998, 5749.215820312497, 5833.357421875004, 6818.774902343755, 6136.543457031249, 5830.866210937496, 5397.376953125001, 5786.112792968747, 5526.817382812504, 6027.571289062495, 5627.0146484375, 5667.7783203124945, nan]"
9,Light GBM,23.64,29.7,"[7117.913275839656, 7095.630483537085, 7797.078581626304, 7276.500563334887, 7649.612535668956, 7644.509076491115, 8280.526268175334, 8407.349815676438, 7835.33785289519, 7688.76232399663, 8208.470741589723, 7751.820535773244, 8175.813286096949, 8175.813286096949, 9301.748064046637, 9267.40837452614, 8936.422799147229, 8590.349926306684, 8701.808228530894, 9163.76878108152, 9416.797405311407, 10110.907623733208, 10044.493576066076, 10553.578216904923, 10395.302762142132, 10709.129369223368, 10709.129369223368, 12047.038900902666, 10702.35334895656, 8136.727680572406, 8577.857164247698, 8387.093859170225, 8741.890866253814, 8864.615864286729, 8507.837884257437, 8303.034066286771, 8161.324318369077, 8239.034690998562, 8480.710364508514, 8433.772489527628, 8661.207757391454, 8496.65465704042, 8169.964163827054, 7823.8912909865, 7805.136182380162, 8163.347379131364, 8416.376003361245, 8163.347379131364, 7958.543561160701, nan]"
10,Simple Exponential Smoothing,22.31,23.36,"[6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616, 6382.243938258616]"
