,model_name,smape,mape,predictions
1,Naive,31.7,40.15,"[1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995, 1677.9999999999995]"
2,Seasonal Naive,151.18,91.65,"[2143.0000000000005, 1.0, 1.0, 12659.000000000007, 6.999999999999999, 10416.00000000001, 3765.0, 2.0, 9201.0, 2876.999999999999, 5178.999999999999, 3314.9999999999973, 2112.9999999999995, 2902.0000000000005, 2038.0000000000005, 2170.000000000001, 3377.999999999999, 1878.9999999999993, 2068.0000000000005, 3979.9999999999973, 4270.000000000002, 2251.0000000000005, 4364.0, 5263.000000000004, 6218.9999999999945, 3017.000000000002, 4875.000000000001, 5749.999999999997, 2364.9999999999995, 1646.0, 1497.0000000000007, 2812.999999999999, 2205.0000000000005, 3620.999999999998, 2369.0, 2318.9999999999995, 1794.9999999999998, 2520.9999999999995, 5488.000000000005, 2814.0000000000005, 3582.0000000000023, 2650.0, 2709.000000000001, 3114.9999999999973, 3301.9999999999986, 2719.0, 2860.0, 2485.000000000001, 2948.0, 2471.9999999999995]"
3,Moving Average,,,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1158.2115384615383, 2264.4355476472906, 589403.4999999997, 2417793.6666666684, 2266214.4999999986, 3267.879821042887, 1351.251072961374, 2830.070794889994, 2151.706854642683]"
4,Moving Average,83.0,52.07,"[2058.4999999999995, 2060.000000000001, 1073.5, 1072.0, 1.0, 6329.999999999999, 6333.000000000005, 5211.500000000002, 7090.5000000000055, 1883.4999999999993, 4601.500000000003, 6039.0, 4028.0000000000023, 4247.000000000001, 2714.000000000001, 2507.500000000001, 2469.999999999999, 2104.000000000001, 2773.999999999999, 2628.4999999999995, 1973.4999999999993, 3024.000000000002, 4125.000000000004, 3260.499999999998, 3307.499999999998, 4813.5, 5741.000000000002, 4617.999999999998, 3945.999999999997, 5312.499999999998, 4057.500000000003, 2005.5000000000007, 1571.5000000000005, 2154.9999999999995, 2508.999999999999, 2912.999999999999, 2995.0, 2343.9999999999995, 2057.000000000001, 2158.0, 4004.5000000000023, 4151.000000000002, 3198.0000000000005, 3115.9999999999977, 2679.500000000001, 2912.0000000000005, 3208.499999999999, 3010.5, 2789.5000000000005, 2672.5]"
5,Linear Regression,87.87,64.95,"[5482.047731125953, 793.6902965457673, 3238.967038878992, 5356.419201037288, 920.3207929192512, 6089.70680962709, 2955.1210168467887, 2031.514534779246, 7634.565240120811, 1189.6258909114736, 5908.336806269777, 2654.7720409205413, 4969.107781257412, 2713.625544441762, 4568.693521022843, 1397.1574220149355, 11602.341973908482, 141.31984650612597, 7349.153279303906, 1254.1879291214977, 4656.520840229421, 5322.880505688248, 4985.7803127132, 2191.9664307295975, 6446.523764540582, 3393.5010009238104, 3898.419227402635, 6865.3869804982705, 2847.0859538127806, 8451.683026464876, 9966.152912829551, 3474.16101705558, 372.85691447609963, 7428.088359568246, 5584.967878612072, 2726.119188032233, 506.03146714146465, 2582.871750663642, 3395.4708790506506, 2738.2909994010897, 5120.849542275953, 3219.6049872785725, 7109.677221753052, 686.3705223202078, 2638.803762608677, 1615.8489822213644, 8853.450536109354, 4012.5706603588624, 5799.759586317187, nan]"
6,Elastic-Net,36.16,56.28,"[3436.7685624676596, 3127.9736656522955, 2239.1793990264855, 4528.393290410725, 3266.875243043232, 3567.4988191944453, 3864.757689838264, 2494.4343533627966, 2877.7924501571156, 3322.702549554565, 2510.9104556040256, 1683.4198156479447, 4083.9963466180375, 1942.073565120936, 3799.999503852876, 2554.6244098389657, 4811.230926036835, 4274.633163176786, 4672.545409442037, 4329.1070134271595, 3053.196685032429, 3949.890652897523, 2810.1993654815856, 2804.942447785653, 2671.2624116249713, 3568.4749521716435, 3275.596726074599, 5051.372585481565, 2094.375764302602, 2010.4990475621566, 1276.4920077584695, 1763.4792110412873, 3077.7842543658, 1719.6464936002458, 3377.4715613465137, 2450.348665410193, 2045.6348324553517, 2440.286825168807, 2979.4565695273413, 1742.9987893589134, 3272.1754652513673, 2150.8177217256252, 4029.5670179283748, 4217.839978385755, 3530.4923973120876, 3838.1347110994675, 2837.9656714163525, 3599.384553993656, 2796.9090694742526, nan]"
7,Random Forest,19.63,23.6,"[2610.7448278923075, 3236.250001169523, 4103.5465821391135, 2971.0581453989757, 2926.1941551669847, 3095.937661384428, 3079.726376603847, 2894.281449460601, 2649.5169416519116, 3720.108110330673, 3763.6132214417858, 2834.216313533694, 3070.367371151599, 2659.6953506306145, 2643.256303244995, 4071.301600558601, 2718.7216313566255, 2849.578506997649, 2927.861724326204, 2924.0939784345137, 2799.0516788601867, 2745.7083795100266, 3811.8805214469457, 3859.0156325580597, 2978.3712683071867, 3308.0922035494846, 3043.0660104967346, 3312.5220656061956, 4294.1879232227575, 2781.337259561752, 2847.9145155949345, 2917.541641420219, 2949.5124399729734, 2785.138140398649, 2535.236899676242, 3684.8453218691366, 3707.6389329802464, 2842.146875072157, 3063.072959386896, 2659.6953506306145, 2643.256303244995, 4073.6916005586004, 2712.911631356624, 2843.7685069976487, 2922.0417243262023, 2923.721978434514, 2779.468940764948, 2542.4204381377804, 3709.9288603306754, nan]"
8,XGBoost,19.83,17.3,"[1514.9570312500007, 2143.963623046874, 2457.9157714843755, 2180.211181640624, 2180.211181640624, 2180.211181640624, 2180.211181640624, 2180.211181640624, 2180.211181640624, 2457.9157714843755, 2457.9157714843755, 2421.300048828125, 2180.211181640624, 2180.211181640624, 2180.211181640624, 2457.9157714843755, 2180.211181640624, 2180.211181640624, 2180.211181640624, 2180.211181640624, 2180.211181640624, 2180.211181640624, 2457.9157714843755, 2457.9157714843755, 2421.300048828125, 2180.211181640624, 2180.211181640624, 2180.211181640624, 2457.9157714843755, 2180.211181640624, 2180.211181640624, 2180.211181640624, 2180.211181640624, 2180.211181640624, 2180.211181640624, 2457.9157714843755, 2457.9157714843755, 2421.300048828125, 2180.211181640624, 2180.211181640624, 2180.211181640624, 2457.9157714843755, 2180.211181640624, 2180.211181640624, 2180.211181640624, 2180.211181640624, 2180.211181640624, 2180.211181640624, 2457.9157714843755, nan]"
9,Light GBM,31.33,42.68,"[3532.6241654341457, 2663.1253494789303, 3363.70798970976, 2665.120060654544, 2960.94362180631, 4120.658677391955, 2975.5597702739165, 2624.6598575293947, 3424.4075121535375, 4413.615651019191, 4405.686635578669, 3814.7262049439787, 3829.568503115012, 4005.4692138084433, 3911.3959935837133, 4453.360694213462, 2804.892693037678, 2989.862337886298, 3603.3527880181505, 3844.7989698389665, 2700.0129074930464, 4206.102353340786, 4577.040800757469, 4718.298804040954, 4458.4140297532995, 3987.7896832653314, 4103.782146004783, 3673.583281162564, 4093.655997326157, 1988.9655017427847, 2388.0564326049584, 2734.110257723565, 2596.743911964337, 3599.9759532568146, 2885.5054935932535, 3706.457385085648, 3265.4568865734677, 3478.695673466146, 2888.4928286688137, 3112.8205936594954, 3214.7833063801627, 3423.402709374001, 2296.8737441323647, 2538.4911850469944, 2418.452078635674, 2364.8231254189936, 3876.3174989051686, 2701.3536390579643, 3381.2892944041782, nan]"
10,Simple Exponential Smoothing,28.51,35.62,"[2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253, 2338.579737734253]"
