product_brand_name,order_date,kegs_delivered|sum,nr_usd|sum,product_cost|sum,total_discount|sum,price_discount|sum,coupon_discount|sum,total_price|sum,growth_rate_population_age_bracket_15_64_annual,population_age_bracket_15_64_annual,disposable_personal_income_lcu_annual,unemployment_rate_quarter,real_private_consumption_growth_rate_year_on_year_quarter,nominal_private_consumption_lcu_quarter,consumer_price_index_year_on_year_percent_change_month,nominal_total_consumption_in_lcu_growth_rate_year_on_year_quarter,interest_rate_short_term_month,avg_t,precipitation,Boxing_Day,Boxing_Day_Observed,Christmas_Day,Christmas_Day_Observed,Easter_Monday,Good_Friday,Late_Summer_Bank_Holiday,May_Day,New_Years_Day,New_Years_Day_Observed,Platinum_Jubilee_of_Elizabeth_II,Spring_Bank_Holiday,abv,holiday_week,holiday_flag,week_of_quarter,Budweiser|sum,Jupiler|sum,Stella|sum,Corona|sum,Hertog|sum,BrewDog|sum,Tennent|sum,Leffe|sum,Lowenbrau|sum,Spaten|sum
BrewDog,2021-11-29,6252.0,55.1,21.65,18.28,0.0,18.28,44.26,0.22,37.14,1258.25,47.301,7.22,1211.56,1.75,7.85,0.09,32.35,3.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.400000000000006,0.0,0.0,9,7.0,7.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0
BrewDog,2021-12-06,3392.0,56.37,23.9,3.61,0.0,3.61,49.58,0.5,86.66,2935.93,110.369,16.85,2826.98,4.0,18.31,0.2,75.48,9.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.60000000000001,0.0,0.0,10,6.0,6.0,7.0,7.0,7.0,6.0,3.0,4.0,7.0,5.0
BrewDog,2021-12-13,2618.0,57.55,25.6,3.74,0.0,3.74,53.77,0.5,86.66,2935.93,110.369,16.85,2826.98,3.99,18.31,0.2,75.48,9.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.60000000000001,0.0,0.0,11,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0
BrewDog,2021-12-20,2789.0,57.38,25.2,3.84,0.0,3.84,54.21,0.5,86.66,2935.93,110.369,16.85,2826.98,3.99,18.31,0.2,75.48,9.18,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.60000000000001,0.0,12.0,12,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
BrewDog,2021-12-27,814.0,57.58,25.73,3.25,0.0,3.25,54.19,0.5,86.66,2935.93,110.369,16.85,2826.98,3.99,18.31,0.2,75.48,9.18,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,75.60000000000001,-12.0,12.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BrewDog,2022-01-03,359.0,75.48,39.43,3.77,0.0,3.77,72.62,0.45,86.73,2978.28,109.7618,21.11,2838.92,3.85,22.03,0.2,75.48,9.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.60000000000001,-12.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BrewDog,2022-01-10,462.0,74.92,42.24,9.7,0.0,9.7,76.76,0.37,86.82,3034.75,108.9522,26.78,2854.83,3.67,27.0,0.2,75.48,9.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.60000000000001,0.0,0.0,2,3.0,6.0,6.0,5.0,6.0,2.0,5.0,4.0,6.0,6.0
BrewDog,2022-01-17,594.0,60.78,30.05,7.03,0.0,7.03,60.97,0.37,86.82,3034.75,108.9522,26.78,2854.83,3.67,27.0,0.2,75.48,9.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.60000000000001,0.0,0.0,3,7.0,7.0,7.0,5.0,7.0,5.0,6.0,4.0,7.0,6.0
BrewDog,2022-01-24,613.0,58.01,28.03,6.86,0.0,6.86,58.6,0.37,86.82,3034.75,108.9522,26.78,2854.83,3.67,27.0,0.2,75.48,9.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.60000000000001,0.0,0.0,4,5.0,5.0,7.0,6.0,7.0,5.0,7.0,6.0,6.0,5.0
BrewDog,2022-01-31,1501.0,51.39,17.79,4.46,0.0,4.46,35.4,0.37,86.82,3034.75,108.9522,26.78,2854.83,3.67,27.0,0.2,75.48,9.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.60000000000001,0.0,0.0,5,3.0,1.0,7.0,3.0,2.0,0.0,7.0,7.0,7.0,2.0
BrewDog,2022-02-07,802.0,50.19,16.08,3.71,0.0,3.71,33.96,0.37,86.82,3034.75,108.9522,26.78,2854.83,3.49,27.0,0.2,75.48,9.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.60000000000001,0.0,0.0,6,6.0,0.0,3.0,1.0,0.0,0.0,7.0,2.0,2.0,0.0
BrewDog,2022-02-14,405.0,62.34,30.95,6.73,0.0,6.73,62.19,0.37,86.82,3034.75,108.9522,26.78,2854.83,3.49,27.0,0.2,75.48,9.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.60000000000001,0.0,0.0,7,7.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0
